nom_departement,zone,date_debut,date_fin,controles,verbalisations,lien,jours
Mayenne,Toutes,2020-03-18,2020-05-05,58800,2630,https://tounesnanews.com/2020/05/05/en-mayenne-les-forces-de-lordre-ont-fait-plus-de-58-000-controles-depuis-le-debut-du-confinement/,49
Meuse,Toutes,2020-03-18,2020-04-10,37000,NA,https://meuse-fm.com/news/des-controles-renforces-pour-le-week-end-de-paques-et-les-vacances-d-avril-241,24
Moselle,Nord,2020-03-18,2020-03-23,NA,463,https://www.republicain-lorrain.fr/edition-thionville-hayange/2020/03/23/non-respect-du-confinement-463-personnes-verbalisees,6
Nord,Toutes,2020-03-18,2020-03-20,29270,1800,https://www.lavoixdunord.fr/729752/article/2020-03-21/le-prefet-annonce-des-amendes-systematiques-en-cas-de-non-respect-du-confinement,3
Oise,Toutes,2020-03-18,2020-04-02,71000,4200,https://france3-regions.francetvinfo.fr/hauts-de-france/coronavirus-pres-7700-infractions-au-confinement-relevees-oise-somme-1810822.html,16
Paris,Toutes,2020-03-18,2020-03-30,303000,24265,https://www.lci.fr/police/coronavirus-covid-19-confinement-plus-de-300-000-controles-et-24-000-verbalisations-a-paris-attestation-deplacement-2149615.html,13
Paris,Toutes,2020-03-18,2020-04-25,1104060,69082,https://www.liberation.fr/france/2020/04/26/la-seine-saint-denis-surverbalisee_1786502,39
Paris,Toutes,2020-03-18,2020-05-02,NA,64000,https://www.francetvinfo.fr/sante/maladie/coronavirus/paris-le-quotidien-dune-brigade-de-controles-du-respect-du-confinement_3946511.html,46
Pas-de-Calais,Toutes,2020-03-18,2020-04-26,NA,NA,https://webcache.googleusercontent.com/search?q=cache:L-4Ybnau_fMJ:https://www.lasemainedansleboulonnais.fr/41258/article/2020-04-27/controles-renforces-sur-les-zones-strategiquesa-l-approche-du-11-mai+&cd=26&hl=fr&ct=clnk&gl=fr&client=firefox-b-d,40
Pas-de-Calais,Toutes,2020-03-18,2020-05-10,400000,20000,https://www.horizonradio.fr/article-22517-plages-deplacement-des-100-km-controles-routiersY-la-prefecture-du-pas-de-calais-evoque-deconfinement-.html,54
